NAME,POSITION,AGENCY,ROLE
FOO JEN WEI,GENERAL MANAGER - LAHAD DATU FLOUR MILL SDN BHD (ANAK SYARIKAT SEDCO),LAHAD DATU FLOUR MILL SDN. BHD.,PESERTA
SABILI AHUNANG,"AHLI LEMBAGA PENGARAH, KINABALU INTERNATIONAL HOTEL SDN BHD",KINABALU INTERNATIONAL HOTEL SDN. BHD.,PESERTA
DATUK MARY ANGELA SIPAUN,DIRECTOR,SABAH MINERAL MANAGEMENT SDN BHD,PESERTA
KEYSHA QAISARA HO ABDULLAH,MANAGEMENT EXECUTIVE,SABAH MINERAL MANAGEMENT SDN BHD,PESERTA
FEONEY LONELLA TONEY,EKSEKUTIF KEWANGAN,SABAH MINERAL MANAGEMENT SDN BHD,PESERTA
TUAN HAJI TUAH BIN TAHIR,KETUA PEGAWAI EKSEKUTIF,IIB INSURANCE BROKERS SDN. BHD.,PESERTA
LAND YEE FONG,AHLI LEMBAGA PENGARAH,IIB INSURANCE BROKERS SDN. BHD.,PESERTA
DATUK YUSOFF MOHAMED KASIM,CHAIRMAN,TABIN WILDLIFE HOLIDAYS SDN BHD,PESERTA
LAWRENCE CHIN,CEO,TABIN WILDLIFE HOLIDAYS SDN BHD,PESERTA
DATUK TPR. ALIJUS @ MOHD ALI BIN SIPIL,GENERAL MANAGER,TANJUNG ARU ECO DEVELOPMENT SDN BHD,PESERTA
TPR. AUGUS TAMANING,DIRECTOR,TANJUNG ARU ECO DEVELOPMENT SDN BHD,PESERTA
MUAMMAR JULKARNAIN,PENGARAH URUSAN,SMART SABAH SDN BHD,PESERTA
NONNY ATIKA YAHYA,PENGURUS BESAR,SMART SABAH SDN BHD,PESERTA
MOHD HANAFIAH BIN MOHD KASSIM,AHLI LEMBAGA PENGARAH,SMART SABAH SDN BHD,PESERTA
MOHD ZAKARIA BIN MANDALAM,"PENGURUS, PEMBANGUNAN PERNIAGAAN",SMART SABAH SDN BHD,PESERTA
MOHAMAD SHAHRIL BIN MOHAMAD ZAINI,"PENGURUS, AKAUN DAN KEWANGAN",SMART SABAH SDN BHD,PESERTA
SHAMSUL BAHRI BIN JOHARI,KETUA PEGAWAI EKSEKUTIF,SEDCO MINING SDN. BHD.,PESERTA
DATUK SR. ALAN CHUA MING LING,PENGERUSI,SEDCO MINING SDN. BHD.,PESERTA
